IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
354850;SP;SANTOS;3376389;SAUD IMAGEM;SAUD IMAGEM SERVICO AUXILIAR DE DIAGNOSTICO E IMAGEM SC L;03591854000269;;M;AVENIDA DONA ANA COSTA;296;CAMPO GRANDE;11060000;-23.94517;-46.33019
354850;SP;SANTOS;3460509;CIRPLAST CLINICA DE CIRURGIA PLASTICA LTDA;CIRPLAST CLINICA DE CIRURGIA PLASTICA LTDA;54345327000124;;M;RUA ELOY FERNANDES;16;BOQUEIRAO;11055110;-23.96735;-46.32756
354850;SP;SANTOS;5327431;VIDACOR INST DE CARD E DE MED INT DE SANTOS S S LTDA;VIDACOR INST DE CARD E DE MED INT DE SANTOS S S LTDA;08201925000102;;M;R DR OLYNTHO RODRIGUES DANTAS;343;ENCRUZILHADA;11050220;-23.95299;-46.32917
354850;SP;SANTOS;5327482;JERONYMO LA TERZA FILHO;JERONYMO LA TERZA FILHO;;;M;AVENIDA DONA ANA COSTA;259;ENCRUZILHADA;11060001;-23.95433;-46.33136
354850;SP;SANTOS;5327504;FERNANDO AUGUSTO COIMBRA REGIS;FERNANDO AUGUSTO COIMBRA REGIS;;;M;RUA GOIAS;225;GONZAGA;11050101;-23.96241;-46.33380
354850;SP;SANTOS;5299969;MARIA JOSE GONZALEZ PARADA;MARIA JOSE GONZALEZ PARADA;;;M;AVENIDA CONSELHEIRO NEBIAS;688;BOQUEIRAO;11045002;-23.94581;-46.32172
354850;SP;SANTOS;5300630;CHRISTIANE MARCIA GARCIA FERREIRA;CHRISTIANE MARCIA GARCIA FERREIRA;;;M;AVENIDA CONSELHEIRO NEBIAS;688;BOQUEIRAO;11045002;-23.94581;-46.32172
354850;SP;SANTOS;3775518;SILVIO RAMON AQUINO AYLA;SILVIO RAMON AQUINO AYLA;;;M;AVENIDA DOUTOR EPITACIO PESSOA;326;EMBARE;11045300;-23.97437;-46.31655
354850;SP;SANTOS;5847125;ATZ DAY HOSPITAL;ATZ ATENDIMENTO HOSPITALAR E AMBULATORIAL LTDA;08545603000180;;M;RUA DOUTOR LOBO VIANA;23;BOQUEIRAO;11045120;-23.96470;-46.32144
354850;SP;SANTOS;3692361;ROBINSON ELOI DO NASCIMENTO;ROBINSON ELOI DO NASCIMENTO;;;M;AVENIDA CONSELHEIRO NEBIAS;793;BOQUEIRAO;11045003;-23.96568;-46.32353
354850;SP;SANTOS;3693783;JOAO SOBREIRA DE MOURA NETO;JOAO SOBREIRA DE MOURA NETO;;;M;RUA DOUTOR OTON FELICIANO;02;GONZAGA;11060000;-23.96811;-46.33352
354850;SP;SANTOS;3696596;ARAGON FISCHER SERVICOS CARDIOLOGICOS LTDA;ARAGON FISCHER SERVICOS CARDIOLOGICOS LTDA;01834532000197;;M;AVENIDA BARTOLOMEU DE GUSMAO;19;PONTA DA PRAIA;11045400;-23.97859;-46.31458
354850;SP;SANTOS;5303230;CLINICA MATERNO INFANTIL S C LTDA;CLINICA MATERNO INFANTIL S C LTDA;02455127000120;;M;RUA GOITACAZES;06;GONZAGA;11055210;-23.96809;-46.33209
354850;SP;SANTOS;3723380;CARLOS GUIMARAES;CARLOS GUIMARAES;;;M;AVENIDA CONSELHEIRO NEBIAS;532;ENCRUZILHADA;11045000;-23.94581;-46.32172
354850;SP;SANTOS;5139368;MILENE VALENTE LOPES;MILENE VALENTE LOPES;;;M;AVENIDA DONA ANA COSTA;151;VILA MATHIAS;11060003;-23.94972;-46.33069
